municipality,county,population,Allow Consumption Site,area,nhcs,notes,type,x1,x2,labels,zip,,AD,,
Germantown,Columbia,"1,936",Yes,36,5,"Decision as of: 7/13/2021—""The Board discussed it and decided not to opt out.""",Town,,,1,,,Yes,,
Ghent,Columbia,"5,106",Yes,118,5,Correspondence with Town,Town,,,1,,,Yes,,
Greenport,Columbia,"4,270",No,53,5,Decision as of: 12/28/2021,Town,,,1,,,Yes,,
Hillsdale,Columbia,"1,810",Yes,124,5,Decision as of: 11/9/2021,Town,,,1,,,Yes,,
Hudson,Columbia,"5,894",Yes,6,5,Coorespondence with City,City,,,1,,,Yes,,
Kinderhook,Columbia,"8,330",No,84,5,Decision as of: 12/6/2021,Town,,,1,,,Yes,,
Kinderhook,Columbia,1181,No,2,5,Decision as of: 12/8/2021,Village,,,1,,,Yes,,
Livingston,Columbia,"3,473",No,101,5,Decision as of: 12/9/2021,Town,,,0,,,No,,
New Lebanon,Columbia,"2,172",Yes,93,5,"Decision as of: 7/13/2021—""The Town Board held discussion on this topic and has no intention on passing a local law to not allow it and they are in agreement that the ZRC should take a look at this and how zoning is affected.""",Town,,,1,,,Yes,,
Philmont,Columbia,"1,272",Yes,3,5,Correspondence with Village,Village,,,1,,,Yes,,
Stockport,Columbia,"2,670",Yes,34,5,Correspondence with Town,Town,,,1,,,Yes,,
Stuyvesant,Columbia,"1,873",Yes,69,5,Correspondence with Town,Town,,,1,,,Yes,,
Taghkanic,Columbia,"1,267",Yes,104,5,Decision as of: 8/9/2021,Town,,,1,,,Yes,,
Valatie,Columbia,"1,864",No,3,5,Decision as of: 12/14/2021 (on-site consumption only),Village,,,1,,,Yes,,
Cincinnatus,Cortland,"1,012",No,66,5,Decision as of: 8/12/2021,Town,,,0,,,No,,
Cortland,Cortland,"17,556",Yes,10,5,Correspondence with City,City,,,1,,,Yes,,
Cortlandville,Cortland,"8,409",No,129,5,Decision as of: 8/18/2021,Town,,,0,,,No,,
Cuyler,Cortland,908,No,113,5,Decision as of: 10/14/2021,Town,,,0,,,No,,
Freetown,Cortland,763,Yes,66,5,Correspondence with Town,Town,,,1,,,Yes,,
Harford,Cortland,919,Yes,63,5,Correspondence with Town,Town,,,1,,,Yes,,
Homer,Cortland,"6,293",Yes,131,5,Decision as of: 8/4/2021; Referendum overturned opt out: 11/2/2021 ,Town,,,1,,,Yes,,
Lapeer,Cortland,732,No,65,5,Decision as of: 9/8/2021,Town,,,0,,,No,,
Marathon,Cortland,"1,870",No,65,5,Decision as of: 10/12/2021,Town,,,0,,,No,,
Marathon,Cortland,868,No,3,5,Decision as of: 9/1/2021,Village,,,0,,,No,,
McGraw,Cortland,972,No,3,5,Decision as of: 8/12/21 (on-site consumption),Village,,,1,,,Yes,,
Preble,Cortland,"1,314",Yes,71,5,Decision as of: 8/5/2021 The Cortland Voice reporting; Referendum overturned opt out: 11/2/2021 ,Village,,,0,,,Yes,,
Scott,Cortland,"1,134",No,58,5,Decision as of: 9/13/2021,Town,,,1,,,No,,
Solon,Cortland,"1,088",Yes,77,5,Correspondence with Town,Town,,,1,,,Yes,,
Taylor,Cortland,493,Yes,78,5,Decision as of: 7/19/2021—Motion to not opt out passed,Town,,,1,,,Yes,,
Truxton,Cortland,"1,082",Yes,116,5,Correspondence with Town,Town,,,1,,,Yes,,
Virgil,Cortland,"2,384",No,123,5,Correspondence with Town,Town,,,0,,,Yes,,
Willet,Cortland,"1,002",No,68,5,Decision as of: 12/9/2021,Town,,,0,,,No,,
Andes,Cortland,"1,199",No,291,6,Decision as of: 8/16/2021,Town,,,0,,,No,,
Bovina,Delaware,595,No,115,6,Decision as of: 10/12/2021,Town,,,0,,,No,,
Colchester,Delaware,"1,978",No,368,6,Decision as of: 10/12/2021,Town,,,1,,,No,,
Davenport,Delaware,"101,724",Yes,169,6,"Decision as of: 9/1/2021, Resolution NO. 90-2021",Town,,,1,,,Yes,,
Delhi,Delaware,"4,914",Yes,167,6,Correspondence with Town,Town,,,1,,,Yes,,
Delhi,Delaware,"2,721",Yes,8,6,Correspondance with Town,Town,,,1,,,Yes,,
Deposit,Delaware,"1,585",Yes,116,6,Decision as of 11/15/2021,Village,,,1,,,Yes,,
Deposit,Delaware,"1,585",Yes,116,6,"Decision as of: 5/11/2021—""A motion was made by Trustee Durning and seconded by Trustee Price to not opt out of having marijuana retail in the Village in December. Motion passed unanimously.""; also located in Broome County",Town,,,1,,,Yes,,
Fleischmanns,Delaware,317,Yes,2,6,"Decision as of: 5/11/2021—""A motion was made by Trustee Durning and seconded by Trustee Price to not opt out of having marijuana retail in the Village in December. Motion passed unanimously."" ",Village,,,1,,,Yes,,
Franklin,Delaware,"41,890",Yes,"1,492",6,Correspondence with Village,Village,,,0,,,Yes,,
Hamden,Delaware,"1,218",No,155,6,Decision as of: 10/19/2021; Permissive Referendum successful—issue before voters November 2022,Town,,,0,,,No,,
Hancock,Delaware,528,No,2,6,Decision as of: 10/6/2021,Town,,,1,,,No,,
Hancock,Delaware,"3,050",Yes,419,6,Correspondence with Town,Town,,,1,,,Yes,,
Harpersfield,Delaware,"1,460",Yes,110,6,Correspondence with Village,Village,,,1,,,Yes,,
Hobart,Delaware,395,No,1,6,Decsision as of: 12/13/2021; referendum overturned dispensary opt-out 3/15/22,Village,,,0,,,Yes,,
Kortright,Delaware,"1,540",Yes,162,6,Correspondence with Town,Town,,,1,,,Yes,,
Margaretville,Delaware,554,No,2,6,Decision as of: 11/30/21,Village,,,1,,,No,,
Masonville,Delaware,"1,259",Yes,141,6,Correspondence with Town,Town,,,0,,,Yes,,
Meredith,Delaware,"1,432",Yes,151,6,Decision as of 11/16/21—motion to opt-out was defeated,Village,,,1,,,Yes,,
Middletown,Delaware,"3,462",No,252,6,Decision as of: 9/1/2021,Town,,,0,,,No,,
Roxbury,Delaware,"2,307",Yes,227,6,Correspondence with Town,Town,,,0,,,Yes,,
Sidney,Delaware,"5,489",No,131,6,Decision as of: 7/20/2021,Town,,,1,,,No,,
Stamford,Delaware,"2,142",No,126,6,Decision as of: 12/13/2021,Town,,,0,,,No,,
Tompkins,Delaware,"1,148",Yes,271,6,Decision as of: 12/9/2021,Town,,,1,,,Yes,,
Walton,Delaware,"5,110",No,253,6,Decision as of: 10/13/2021,Town,,,0,,,No,,
Walton,Delaware,2910,Yes,2,6,Decision as of: 12/14/2021,Town,,,1,,,Yes,,
Amenia,Delaware,"4,314",No,113,2,Decision as of: 8/9/2021,Town,,,0,,,No,,
Beacon,Delaware,"13,769",No,13,2,Decision as of: 10/25/2021,Village,,,1,,,No,,
Beekman,Delaware,"14,432",Yes,78,2,Decision as of: 9/7/2021—Not going to opt out.,Village,,,0,,,Yes,,
Clinton,Delaware,"4,037",No,100,2,Decision as of: 11/16/2021,Village,,,1,,,No,,
Dover,Dutchess,"8,366",No,146,2,Decision as of: 11/18/2021,Town,,,0,,,No,,
East Fishkill,Dutchess,"29,430",Yes,149,2,Correspondence with City,City,,,0,,,Yes,,
Fishkill,Dutchess,"2,080",No,2,2,Decision as of: 10/12/2021 (on-site consumption only) and 11/16/2021 (dispensaries only),Town,,,1,,,No,,
Fishkill,Dutchess,"2,080",No,2,2,Decision as of: 10/12/2021,Town,,,1,,,Yes,,
Hyde Park,Dutchess,"21,021",No,103,2,Decision as of: 11/3/2021,Town,,,0,,,No,,
LaGrange,Dutchess,"15,975",No,103,2,Decision as of: 11/18/2021,Town,,,0,,,No,,
Milan,Dutchess,"2,245",No,94,2,Correspondence with Town,Town,,,0,,,Yes,,
Millbrook,Dutchess,"1,397",Yes,5,2,Correspondence with Village,Village,,,0,,,Yes,,
Millerton,Dutchess,922,No,2,2,Decision as of: 9/20/2021,Town,,,1,,,No,,
North East,Dutchess,"2,967",No,113,2,Decision as of: 11/3/2021,Town,,,0,,,No,,
Pawling,Dutchess,"8,012",No,117,2,Correspondence with Town,Town,,,0,,,No,,
Pawling,Dutchess,"2,267",No,5,2,Decision as of: 10/20/2021,Village,,,0,,,No,,
Pine Plains,Dutchess,"2,410",Yes,81,2,Correspondence with Village,Village,,,1,,,Yes,,
Pleasant Valley,Dutchess,"1,145",No,4,2,Decision as of: 9/9/2021,Town,,,0,,,No,,
Poughkeepsie,Dutchess,"31,577",No,81,2,Decision as of: 11/10/2021,Town,,,1,,,No,,
Poughkeepsie,Dutchess,45471,No,31.2,2,Decision as of: 10/18/2021,Village,,,1,,,No,,
Red Hook,Dutchess,"9,953",No,104,2,Decision as of: 9/16/2021 (on-site consumption),Town,,,1,,,Yes,,
Red Hook,Dutchess,"9,953",No,104,2,Decision as of 11/17/2021,Town,,,1,,,No,,
Rhinebeck,Dutchess,"7,766",Yes,103,2,Correspondence with City,City,,,0,,,Yes,,
Rhinebeck,Dutchess,"2,566",No,4,2,Decision as of: 12/1/2021,Town,,,0,,,Yes,,
Stanford,Dutchess,"3,741",No,130,2,Decision as of: 10/27/2021,Town,,,0,,,Yes,,
Tivoli,Dutchess,"1,012",No,5,2,correspondence with Village,Village,,,0,,,Yes,,
Union Vale,Dutchess,"4,598",No,98,2,Decision as of: 9/1/2021,Town,,,0,,,No,,
Wappinger,Dutchess,"28,216",No,74,2,Decision as of: 10/12/2021; Referendum affirmed to opt out: 11/16/2021 ,Village,,,0,,,No,,
Wappingers Falls,Dutchess,"5,545",No,3,2,Decision as of: 10/28/2021,Town,,,1,,,No,,
Washington,Dutchess,"7,352",No,13,2,Decision as of: 10/20/2021,Village,,,0,,,No,,
Akron,Dutchess,"2,855",No,5,1,Decision as of: 10/21/2021,Town,,,0,,,No,,
Alden,Dutchess,"9,706",No,89,1,Decision as of: 12/13/2021 ,Town,,,0,,,No,,
Malden,Dutchess,405,No,1,1,Decision as of: 12/8/2021 (on-site consumption only),Village,,,0,,,Yes,,
Amherst,Dutchess,"129,595",No,139,1,Decision as of: 12/9/2021,Town,,,1,,,No,,
Angola,Erie,"2,107",No,4,1,Decision as of: 12/6/2021,Village,,,1,,,No,,
Aurora,Erie,"13,943",No,94,1,Buffalo News reporting,Town,,,0,,,No,,
Blasdell,Erie,"2,656",No,3,1,Decision as of: 11/9/21,Village,,,1,,,No,,
Boston,Erie,"7,948",Yes,93,1,Buffalo News reporting,Town,,,1,,,Yes,,
Brant,Erie,"2,056",No,64,1,Decision as of: 12/13/2021,Village,,,0,,,Yes,,
Buffalo,Erie,"278,349",No,136,1,Decision as of: 10/12/2021,Town,,,1,,,No,,
Cheektowaga,Erie,"89,877",Yes,76,1,Correspondence with Village,Village,,,1,,,Yes,,
Clarence,Erie,"32,950",Yes,139,1,Correspondence with Town,Town,,,0,,,Yes,,
Colden,Erie,"3,333",No,93,1,Decision as of 11/9/2021,Town,,,0,,,No,,
Collins,Erie,"5,894",Yes,125,1,Buffalo News reporting,City,,,0,,,Yes,,
Concord,Erie,"8,316",Yes,182,1,Buffalo News reporting,Town,,,1,,,Yes,,
Depew,Erie,"15,178",No,13,1,Decision as of: 11/3/2021,Town,,,1,,,No,,
East Aurora,Erie,"5,998",No,7,1,Decision as of: 10/14/2021,Town,,,1,,,No,,
Eden,Erie,"7,573",No,103,1,Decision as of: 10/12/2021,Town,,,1,,,No,,
Elma,Erie,"11,721",Yes,89,1,"Decision as of 11/11/2021—""Motion by Councilman Drozd, seconded by Councilman Kresmien, that the Town of Concord does not opt out of the marijuana law. Carried""",Town,,,0,,,Yes,,
Evans,Erie,"15,308",Yes,108,1,Buffalo News reporting,Village,,,1,,,Yes,,
Farnham,Erie,372,No,3,1,Decision as of: 11/15/2021,Village,,,1,,,Yes,,
Gowanda,Erie,"2,512",Yes,4,1,Buffalo News reporting,Town,,,0,,,Yes,,
Grand Island,Erie,"21,389",No,86,1,Decision as of: 10/20/2021,Town,,,1,,,No,,
Hamburg,Erie,"60,085",Yes,107,1,Buffalo News reporting,Town,,,1,,,Yes,,
Hamburg,Erie,"9,696",Yes,6,1,Correspondence with Village,Village,,,0,,,Yes,,
Holland,Erie,"3,352",No,93,1,Decision as of: 12/14/2021; also located in Cattaraugus County,Village,,,0,,,No,,
Kenmore,Erie,"15,205",No,4,1,Decision as of 11/1/2001 (on-site consumption),Town,,,1,,,Yes,,
Lackawanna,Erie,"19,949",No,16,1,Decision as of: 12/27/2021,Town,,,1,,,Yes,,
Lancaster,Erie,"45,106",No,98,1,Buffalo News reporting,Village,,,0,,,No,,
Lancaster,Erie,"10,027",No,7,1,Decision as of: 10/13/2021,Town,,,1,,,No,,
Marilla,Erie,"5,189",No,71,1,Decision as of: 11/16/2021,Village,,,0,,,Yes,,
Newstead,Erie,"8,689",Yes,132,1,Buffalo News reporting,City,,,0,,,Yes,,
North Collins,Erie,"3,487",No,111,1,Decision as of: 11/15/2021,Town,,,0,,,No,,
North Collins,Erie,"3,487",Yes,111,1,Buffalo News reporting,Village,,,1,,,Yes,,
Orchard Park,Erie,"29,686",No,100,1,Decision as of: 7/20/2021,Town,,,1,,,No,,
Orchard Park,Erie,"3,141",No,4,1,Decision as of: 12/13/2021,Town,,,0,,,No,,
Sardinia,Erie,"2,786",No,131,1,Decision as of: 12/8/2021,Town,,,0,,,No,,
Slav,Erie,#FIELD!,Yes,#FIELD!,1,Correspondence with Village,Village,,,1,,,Yes,,
Springville,Erie,"4,225",No,10,1,Buffalo News reporting,Town,,,1,,,Yes,,
Tonawanda ,Erie,#FIELD!,No,#FIELD!,1,Decision as of: 8/9/2021,Village,,,1,,,No,,
Tonawanda,Erie,"72,636",No,53,1,Buffalo News reporting,Town,,,1,,,No,,
Wales,Erie,"3,007",Yes,92,1,Correspondence with Village,Village,,,0,,,Yes,,
West Seneca,Erie,"45,500",Yes,55,1,Correspondence with Village,Village,,,1,,,Yes,,
Williamsville,Erie,"5,423",Yes,3,1,Correspondence with City,City,,,0,,,Yes,,
Chesterfield ,Erie,#FIELD!,No,#FIELD!,6,Decision as of: 12/6/2021 (On-site consumption),Town,,,0,,,Yes,,
Crown Point,Erie,"1,903",No,212,6,Decision as of: 11/9/2021,Town,,,1,,,No,,
Elizabethtown,Erie,"1,107",No,215,6,Decision as of: 11/1/2021 (on-site consumption only)—vote on dispensaries failed,Town,,,0,,,Yes,,
Essex,Erie,621,No,97,6,Decision as of: 11/22/2021,Village,,,0,,,No,,
Jamestown,Essex,#FIELD!,No,#FIELD!,6,Decision as of: 12/21/2021,Town,,,1,,,No,,
Keene,Essex,"1,144",Yes,406,6,Correspondence with Town,Town,,,0,,,Yes,,
Lake Placid,Essex,"2,386",No,4,6,Decision as of: 12/21/2021,Town,,,1,,,No,,
Lewis ,Essex,#FIELD!,No,#FIELD!,6,Decision as of: 12/9/2021,Town,,,0,,,No,,
Minerva,Essex,777,Yes,420,6,Decision as of: 12/9/2021; referendum overturned dispensary and consumption site opt-out 11/8/22,Town,,,1,,,Yes,,
Moriah,Essex,"4,582",No,184,6,Decision as of: 11/9/2021,Town,,,1,,,No,,
Newcomb,Essex,409,Yes,604,6,Decision as of: 12/20/2021; referredum overturned opt-out 3/15/22,Village,,,0,,,Yes,,
North Elba,Essex,"8,094",No,405,6,Decision as of: 12/14/2021,Town,,,1,,,No,,
North Hudson,Essex,234,Yes,474,6,Correspondence with Town,Town,,,1,,,Yes,,
Saranac Lake,Essex,"4,887",Yes,8,6,Correspondence with Town,Town,,,1,,,Yes,,
Schroon,Essex,"1,578",No,366,6,Decision as of: 9/28/2021,Town,,,0,,,No,,
St. Armand,Essex,"1,482",No,149,6,Decision as of 12/17/2021; referendum overturned dispensary opt-out 11/8/22,Town,,,0,,,Yes,,
Ticonderoga,Essex,"4,817",Yes,229,6,Correspondence with Town,Town,,,0,,,Yes,,
Westport,Essex,"1,263",Yes,173,6,Correspondence with Village; also located in Franklin County,Village,,,1,,,Yes,,
Willsboro,Essex,"2,004",No,190,6,Decision as of: 12/13/2021,Town,,,1,,,No,,
Wilmington ,Essex,#FIELD!,No,#FIELD!,6,Decision as of: 12/16/2021,Town,,,1,,,No,,
Bangor,Essex,"2,241",No,112,5,Decision as of: 10/14/2021,Town,,,1,,,No,,
Bellmont,Essex,"1,418",Yes,433,5,Correspondence with Town,Town,,,1,,,Yes,,
Bombay,Essex,"1,295",Yes,93,5,Correspondence with Town,Town,,,1,,,Yes,,
Brandon,Essex,566,Yes,107,5,Decision as of: 12/14/2021; referendum overturned dispensary and consumption site opt-out 11/8/22,Town,,,1,,,Yes,,
Brighton,Franklin,"36,098",Yes,215,5,Correspondence with Town,Town,,,1,,,Yes,,
Brushton,Franklin,439,Yes,1,5,Correspondence with Town,Town,,,1,,,Yes,,
Burke ,Franklin,#FIELD!,Yes,#FIELD!,5,Correspondence with Town,Town,,,1,,,Yes,,
Burya,Franklin,131,Yes,#FIELD!,5,Correspondence with Town,Town,,,1,,,Yes,,
Chateaugay,Franklin,"1,888",Yes,129,5,"Decision as of: 10/14/21—""No action to be taken by the Town Board to “opt out” of having Retail Dispensaries and On-site Consumption Sites in the Town.""",Town,,,1,,,Yes,,
Chateaugay,Franklin,"1,888",Yes,129,5,Correspondence with Village,Village,,,1,,,Yes,,
Constable,Franklin,"1,578",Yes,85,5,Decision as of: 7/13/2021—Will take no action pertaining to the sale of marijuana at this time.,Town,,,0,,,Yes,,
Dickinson,Franklin,799,Yes ,115,5,Correspondence with Village,Village,,,0,,,Yes,,
Duane,Franklin,175,Yes,202,5,"Decision as of: 6/14/2021—""The Town Board will not opt out of having a marijuana retail business in the Town of Chateaugay…""",Town,,,0,,,Yes,,
Fort Covington,Franklin,"1,604",Yes,95,5,Correspondence with Village,Village,,,0,,,Yes,,
Franklin,Franklin,"41,890",No,"1,492",5,Decision as of: 12/9/2021,Town,,,0,,,No,,
Harrietstown,Franklin,"5,507",No,553,5,OCM data,Town,,,0,,,No,,
Malone,Franklin,"5,483",No,8,5,Decision as of: 11/30/2021,Town,,,1,,,No,,
Malone,Franklin,"5,483",No,8,5,Decision as of: 11/8/2021,Town,,,0,,,No,,
Moira,Franklin,"4,591",No,#FIELD!,5,Decision as of: 10/12/2021,Town,,,0,,,No,,
Santa Clara,Franklin,339,No,497,5,Correspondence with Town,Town,,,0,,,No,,
Saranac Lake,Franklin,"4,887",Yes,8,5,Correspondence with Town,Town,,,1,,,Yes,,
Tupper Lake,Franklin,"5,761",No,337,5,Decision as of: 12/29/2021,Village,,,1,,,No,,
Tupper Lake,Franklin,"5,761",*,337,5,,Town,,,1,,,*,,
Waverly,Franklin,"4,373",No,6,5,Decision as of: 12/29/2021,Town,,,1,,,No,,
Westville,Franklin,"1,809",Yes,90,5,Correspondence with Village; also located in Essex County,Village,,,1,,,Yes,,
Bleecker,Franklin,500,Yes,154,5,Decision as of 11/4/2021,Town   ,,,0,,,Yes,,
Broadalbin,Franklin,"5,158",Yes,103,5,Correspondence with Village,Village,,,1,,,Yes,,
Broadalbin,Franklin,"1,283",Yes,3,5,Correspondence with Town,Town,,,1,,,Yes,,
Caroga,Franklin,"1,158",Yes,140,5,Correspondence with Town,Town,,,1,,,Yes,,
Dolgeville,Fulton,"2,081",No,5,5,Decision as of: 12/20/2021,Town,,,0,,,No,,
Ephratah,Fulton,"1,602",Yes,102,5,Correspondence with Town,Town,,,1,,,Yes,,
Gloversville,Fulton,"15,131",No,13,5,Correspondence with Village,Village,,,1,,,Yes,,
Johnstown ,Fulton,#FIELD!,Yes,#FIELD!,5,Correspondence with Town,Town,,,1,,,Yes,,
Johnstown,Fulton,"8,204",No,13,5,Decision as of: 7/19/2021,Village,,,1,,,No,,
Mayfield,Fulton,"6,234",Yes,168,5,Correspondence with Town,Town,,,1,,,Yes,,
Mayfield ,Fulton,#FIELD!,Yes,#FIELD!,5,Correspondence with City,City,,,1,,,Yes,,
Northampton ,Fulton,#FIELD!,Yes,#FIELD!,5,Correspondene with City,City,,,0,,,Yes,,
Northville,Fulton,"1,053",Yes,4,5,Decision as of: 12/20/2021,Town,,,1,,,Yes,,
Oppenheim,Fulton,"1,870",Yes,146,5,Correspondence with Town,Town,,,1,,,Yes,,
Perth,Fulton,"3,497",Yes,68,5,Correspondence with Village,Village,,,1,,,Yes,,
Stratford ,Fulton,#FIELD!,No,#FIELD!,5,Decision as of: 7/21/2021,Town,,,1,,,No,,
Alabama,Fulton,"1,751",Yes,111,5,"Decision as of: 8/17/2021—""We choose not to opt out.""",Village,,,0,,,Yes,,
Alexander ,Fulton,#FIELD!,Yes,#FIELD!,5,Correspondence with Town,Town,,,0,,,Yes,,
Alexander ,Fulton,#FIELD!,Yes,#FIELD!,5,Correspondence with Town,Town,,,0,,,Yes,,
Batavia,Fulton,"15,600",Yes,13,5,Correspondence with Town,Town,,,1,,,Yes,,
Batavia ,Genesee,#FIELD!,No,#FIELD!,5,Decision as of: 11/22/2021,Town,,,0,,,No,,
Bergen,Genesee,"2,950",No,2,5,Decision as of: 12/13/2021,Town,,,0,,,No,,
Bergen,Genesee,"2,950",No,2,5,Decision as of: 12/28/2021,Village,,,0,,,No,,
Bethany,Genesee,"1,703",Yes,93,5,Correspondence with City,City,,,0,,,Yes,,
Byron,Genesee,"2,254",No,84,5,Decision as of: 12/15/2021,Town,,,0,,,No,,
Corfu,Genesee,705,No,3,5,correspondence with Town,Town,,,1,,,No,,
Darien,Genesee,"3,031",No,123,5,Decision as of: 12/8/2021,Village,,,1,,,No,,
Elba,Genesee,"2,260",No,92,5,Decision as of: 10/13/2021,Town,,,0,,,No,,
Elba,Genesee,"2,260",No,92,5,Decision as of: 12/27/2021,Town,,,0,,,No,,
Le Roy ,Genesee,#FIELD!,Yes,#FIELD!,5,Correspondence with Village,Village,,,0,,,Yes,,
Le Roy ,Genesee,#FIELD!,Yes,#FIELD!,5,The Batavian reporting,Town,,,0,,,Yes,,
Oakfield,Genesee,"1,708",No,2,5,The Batavian reporting,Town,,,0,,,No,,
Oakfield,Genesee,"1,708",No,2,5,Correspondence with Village,Village,,,0,,,No,,
Pavilion,Genesee,"2,366",No,92,5,Decision as of: 12/9/2021,Town,,,1,,,No,,
Pembroke ,Genesee,#FIELD!,No,#FIELD!,5,Decision as of: 11/17/2021,Village,,,1,,,No,,
Stafford ,Genesee,#FIELD!,No,#FIELD!,5,Decision as of: 12/14/2021,Town,,,0,,,No,,
Ashland,Genesee,"1,596",No,67,6,Decision as of: 10/12/2021,Village,,,0,,,No,,
Athens,Genesee,"3,916",Yes,75,6,The Batavian reporting,Town,,,1,,,Yes,,
Athens ,Genesee,#FIELD!,Yes,#FIELD!,6,Correspondence with Town,Town,,,1,,,Yes,,
Chiro,Genesee,"56,900",No,#FIELD!,6,Decision as of: 11/22/2021,Town,,,1,,,No,,
Catskill,Greene,"11,298",No,166,6,correspondence with Town,Town,,,1,,,No,,
Catskill,Greene,"3,745",Yes,7,6,Correspondence with Town,Town,,,1,,,Yes,,
Coxsackie,Greene,"8,498",Yes,7,6,Correspondence with Village,Village,,,1,,,Yes,,
Coxsackie ,Greene,#FIELD!,No,#FIELD!,6,Decision as of: 12/15/2021; Town Board voted to overturn dispensary opt out 10/3/22,Town,,,0,,,Yes,,
Durham ,Greene,#FIELD!,Yes,#FIELD!,6,Decision as of: 12/29/2021 (on-site consumption); referendum overturned on-site consumption opt-out 11/8/2022,Town,,,0,,,Yes,,
Greenville,Greene,"4,692",Yes,101,6,Decision as of: 12/29/2021,Village,,,0,,,Yes,,
Halcott,Greene,249,Yes,60,6,"Decision as of: 10/12/21—""At this time the Board will not be opting out.""",Town,,,0,,,Yes,,
Hunter ,Greene,#FIELD!,Yes,#FIELD!,6,Correspondence with Village,Village,,,0,,,Yes ,,
Hunter,Greene,"2,647",No,234,6,Decision as of: 12/30/2021,Town,,,0,,,No,,
Jewett,Greene,944,No,131,6,Decision as of: 12/30/2021,Town,,,0,,,No,,
Lexington,Greene,776,No,206,6,Decision as of: 12/20/2021,Town,,,1,,,No,,
New Baltimore,Greene,"3,266",No,112,6,Decision as of: 12/13/2021,Town,,,0,,,No,,
Prattsville,Greene,713,No,51,6,Decision as of: 12/22/2021,Village,,,0,,,No,,
Tannersville,Greene,514,No,3,6,Decision as of: 11/10/2021,Town,,,1,,,No,,
Windham,Greene,"1,677",No,118,6,Correspondence with Town,Town,,,0,,,Yes,,
Arietta,Greene,277,No,853,6,Public Hearing held: 12/27/2021,Town,,,0,,,No,,
Benson,Greene,181,No,215,6,Decision as of: 12/13/2021,Town,,,0,,,No,,
Hope ,Greene,#FIELD!,Yes,#FIELD!,6,Correspondence with Town,Village,,,1,,,Yes,,
Indian Lake,Greene,"1,245",No,689,6,Decision as of: 9/9/2021,Town,,,1,,,No,,
Inlet,Hamilton,305,No,172,6,Decision as of: 10/20/2021,Town,,,0,,,No,,
Lake Pleasant,Hamilton,716,No,513,6,Decision as of: 6/15/2021,Town,,,0,,,No,,
Long Lake,Hamilton,651,Yes,"1,165",6,Correspondence with Town,Town,,,1,,,Yes,,
Morehouse,Hamilton,77,Yes,504,6,Correspondence with Town,Town,,,0,,,Yes,,
Speculator,Hamilton,300,No,122,6,Decision as of: 12/14/2021,Town,,,0,,,No,,
Wells,Hamilton,625,No,462,6,Decision as of: 7/6/2021,Town,,,0,,,No,,
Coldbrook,Hamilton,"1,206",Yes,2,3,Correspondence with Town,Town,,,0,,,Yes,,
Columbia,Hamilton,"1,517",No,91,3,Decision as of: 7/2021,Town,,,1,,,No,,
Danube,Hamilton,"1,022",No,77,3,Decision as of: 12/13/2021,Village,,,1,,,No,,
Fairfield,Hamilton,"9,416",No,17,3,Decision as of: 12/13/2021,Town,,,1,,,No,,
Frankfort,Herkimer,"7,311",No,95,3,Correspondence with Village,Village,,,1,,,No,,
Frankfort,Herkimer,"7,311",Yes,95,3,Correspondence with Town,Town,,,1,,,Yes,,
German Flatts,Herkimer,"12,547",Yes,89,3,Correspondence with Town,Town,,,0,,,Yes,,
Herkimer,Herkimer,"61,833",Yes,"3,776",3,Correspondence with Town,Town,,,1,,,Yes,,
Herkimer,Herkimer,"7,234",Yes,6,3,Correspondence with Town,Town,,,1,,,Yes,,
Ilion,Herkimer,"7,646",Yes,6,3,Correspondence with Village,Village,,,0,,,Yes,,
Litchfield,Herkimer,"1,472",No,77,3,Decision as of: 11/17/2021,Town,,,0,,,No,,
Little Falls,Herkimer,"1,492",Yes,59,3,Correspondence with Town,Town,,,1,,,Yes,,
Little Falls,Herkimer,"1,492",Yes,59,3,Correspondence with Village,Village,,,1,,,Yes,,
Manheim,Herkimer,"3,192",No,77,3,Decision as of: 12/13/2021,Village,,,1,,,No,,
Middleville,Herkimer,491,No,2,3,Decision as of: 12/29/2021,Town,,,0,,,No,,
Mohawk ,Herkimer,#FIELD!,Yes,#FIELD!,3,Correspondence with City,City,,,0,,,Yes,,
Newport ,Herkimer,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,1,,,Yes,,
Newport ,Herkimer,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,0,,,Yes,,
Norway,Herkimer,"5,347,896",No,"323,802",3,Decision as of: 12/13/2021,Village,,,1,,,No,,
Ohio ,Herkimer,#FIELD!,No,#FIELD!,3,Decision as of: 9/13/2021,Village,,,1,,,No,,
Meland,Herkimer,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,1,,,Yes,,
Russia,Herkimer,########,*,########,3,,Village,,,0,,,*,,
Salisbury ,Herkimer,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,1,,,Yes,,
Schuyler,Herkimer,"3,329",Yes,104,3,Correspondence with Town (missed deadline - opted out 1/11/22),Town,,,0,,,Yes,,
Stark,Herkimer,720,Yes,82,3,Correspondence with Village,Village,,,1,,,Yes,,
Warren,Herkimer,"1,094",No,100,3,Decision as of: 10/28/2021,Town,,,1,,,No,,
Webb,Herkimer,"1,810",Yes,"1,251",3,Correspondence with Town,Town,,,1,,,Yes,,
